Intensities,Locations (cm^-1),Standard Deviations (cm^-1)
0.0,1601.6264377292503,5.989417322881548
0.16111104578454166,1608.0902545152044,3.6854648624845487
0.3647730342316961,1614.4048365583208,5.136517988997498
0.7471844241515389,1620.842025130494,7.925253948590126
0.03706544074751384,1632.2307238836224,8.17595449840587
0.4532075926560693,1641.2545833843205,7.435310100401554
0.24092035849602503,1651.9788493799867,7.082850547037701
0.15873764128739543,1657.7862380650483,9.076007702678158
0.1852220393423488,1666.6088438836646,6.415792560955743
0.19964704403814407,1675.4261235257086,8.985108894419312
0.10677037444614496,1679.9257830957588,6.226649511065255
0.2704073655270456,1695.351451501008,6.546059609244587
0.2703716874449601,1705.4138030455133,5.210747126498179
1.9687226270275933e-18,1711.5710794748475,6.639179287567425
