Wavenumbers (cm^-1),Normalized Amide I,Fourier Self Deconvolution Intensities,Regressed Intensities
1599.663,0.010003384051079037,0.022543572405802813,0.03876676240495776
1600.628,0.06419385175524434,0.04914810246548079,0.059654539640136915
1601.592,0.12104246146870068,0.08600025163402518,0.08943868064331648
1602.556,0.18029580000289344,0.13267588189855817,0.12989524174528297
1603.52,0.24181443405714484,0.18839541095025017,0.18194678557243268
1604.485,0.30545068185574425,0.2520408611959615,0.24528075232691696
1605.449,0.37071419038846215,0.3221877805005444,0.31788608652648703
1606.413,0.43668477774453285,0.39715103130719237,0.3966985023362897
1607.377,0.5019515903838987,0.47504274910260835,0.4780074807958012
1608.342,0.5649541105267992,0.5538401442025369,0.5584316822533812
1609.306,0.6244988712676304,0.6314602970300901,0.6352445241084915
1610.27,0.6799650427582241,0.7058387059917063,0.7070799952436102
1611.234,0.7312977768281739,0.7750081115890048,0.7732919479785202
1612.198,0.7787653669375596,0.837174055349494,0.8334435559514471
1613.163,0.8226212498581197,0.8907837433383212,0.8868154960560013
1614.127,0.8628422732601031,0.9345850678312875,0.9319796693500241
1615.091,0.8990970470379931,0.9676730842692398,0.967327968514493
1616.055,0.9308205689544381,0.9895218222638076,0.9913048856811462
1617.02,0.9573589680947586,1.0,1.002957173706138
1617.984,0.9780665984361192,0.9993699756833025,1.0021966913823779
1618.948,0.9923933380126964,0.9882700683989182,0.9898959281992183
1619.912,0.999832336864191,0.9676811726154574,0.9676170574051245
1620.877,1.0,0.9388793345996803,0.9372734169981478
1621.841,0.9928044496720251,0.9033766167867175,0.9009545468770197
1622.805,0.9787647728267694,0.8628531139042019,0.8605216798945141
1623.769,0.9591768400928251,0.819083375118261,0.817637868352031
1624.734,0.936075662548264,0.7738607103806119,0.7737058178872073
1625.698,0.9116267281090827,0.7289229062505207,0.7301163220049273
1626.662,0.8877560123338639,0.6858827460182942,0.6880434044760702
1627.626,0.8655895547693276,0.6461664297575092,0.6486667985735486
1628.59,0.845377145878308,0.610962539730687,0.6131201607102714
1629.555,0.8268468694750087,0.5811836210225686,0.5824120342598786
1630.519,0.8094336997388837,0.5574417784460781,0.5574701495569627
1631.483,0.792494338896537,0.5400389653031006,0.5388645597045895
1632.447,0.7753706089030534,0.5289718966256248,0.5268705926877276
1633.412,0.757401369809127,0.5239507985106345,0.5213907549383534
1634.376,0.7381332745990187,0.5244305436413377,0.5219669988574678
1635.34,0.717835619756401,0.5296521546600929,0.5277829819380108
1636.304,0.6978683755788997,0.5386922095803387,0.5377626468338598
1637.269,0.6802374770060557,0.5505173775562546,0.5506692999848628
1638.233,0.6664839357967904,0.5640411615182027,0.5651545829400755
1639.197,0.6570369671966946,0.578179930134423,0.5799457474139587
1640.161,0.6513084402218499,0.5919054802146437,0.5938857892651607
1641.125,0.6481300227603998,0.6042916686834365,0.6060156757535903
1642.09,0.6461526598582508,0.6145530699356442,0.6156251379465726
1643.054,0.6439357374322983,0.6220741230691657,0.6222285112839977
1644.018,0.6402491483678916,0.6264278031756108,0.625611403324619
1644.982,0.6343765623430578,0.6273834481182925,0.6257531577803765
1645.947,0.6265106205671503,0.624903963137624,0.6227873184912277
1646.911,0.6177072919427072,0.6191331777890242,0.6169683476939091
1647.875,0.6092561810872785,0.6103746140482388,0.6086097758055592
1648.839,0.6017487230914338,0.5990633167230267,0.598062524691577
1649.804,0.5944491051955437,0.5857326795482704,0.585683458389947
1650.768,0.5855506182995435,0.5709783614777418,0.5718859472877171
1651.732,0.5731656380652027,0.5554214241021218,0.5570687677983351
1652.696,0.5571164035546905,0.539672736579494,0.5416749722993067
1653.661,0.5395423356162471,0.5243004996183197,0.5261681876975403
1654.625,0.5235942067692585,0.5098024515757993,0.5110902701124715
1655.589,0.5112872034518862,0.49658395909477504,0.49694263986649184
1656.553,0.5026411503040398,0.4849427866921715,0.48421507321697826
1657.517,0.49624651542831444,0.4750609108188794,0.4733230862349742
1658.482,0.4903114935793678,0.4670033206374019,0.46455033422004915
1659.446,0.4832296045201939,0.46072335500076356,0.4580391991593086
1660.41,0.4740872745533382,0.456073784672436,0.45370828561704213
1661.374,0.46278736294324985,0.4528225781983968,0.45128679917476244
1662.339,0.4501172500965089,0.450672101296843,0.4503264947883323
1663.303,0.43727299903765504,0.44928039965546657,0.45025258920834255
1664.267,0.42524618396430397,0.4482832041620297,0.45042720158541244
1665.231,0.4143830752535034,0.4473153706607977,0.45023217507221924
1666.196,0.40420227635777206,0.4460306130097427,0.4491403601637696
1667.16,0.39372905223181537,0.44411859396278414,0.4467798557460992
1668.124,0.38203661275156503,0.44131868558580084,0.44296047704353364
1669.088,0.3687734009693371,0.43742998013474954,0.43767796293376193
1670.052,0.3543603600724933,0.43231740380013617,0.4310836758908415
1671.017,0.3398214445038398,0.4259140406656457,0.42342215402698735
1671.981,0.32615909663814746,0.4182199960985398,0.41499692477661076
1672.945,0.3138950467072406,0.4092983043545801,0.4060561534584919
1673.909,0.3029156334423209,0.3992685053216506,0.39677198464627933
1674.874,0.29288351934589335,0.38829857552718855,0.3871966110044478
1675.838,0.2835574810492285,0.3765958990326265,0.37730652311601565
1676.802,0.275046235452748,0.36439790943527883,0.3669773372378918
1677.766,0.26756917523809415,0.3519629337474659,0.35608033312012155
1678.731,0.26126145015889285,0.33956163453330585,0.3445283638763334
1679.695,0.25577610543357604,0.32746929270381026,0.3323888210402902
1680.659,0.25024450321514546,0.3159590152243803,0.3198580514286625
1681.623,0.24333971427247558,0.30529580494773884,0.3073254589330059
1682.588,0.23388383637601637,0.2957313077691362,0.29533148224140604
1683.552,0.22170304993271953,0.2874989667855338,0.2845634900986704
1684.516,0.20836053959086576,0.2808092722580401,0.2756988726598826
1685.48,0.1965722810177308,0.2758448040664247,0.26935974242220423
1686.444,0.1885176629604453,0.2727548198054273,0.2660050595250574
1687.409,0.18465768617058465,0.2716492421430308,0.265855650981212
1688.373,0.18401794601351024,0.2725920349262054,0.2688486068770396
1689.337,0.1852036586990877,0.2755941167302472,0.27463789337058586
1690.301,0.18709308001923644,0.28060612850534844,0.2826469543135551
1691.266,0.18912544878471652,0.28751153262505624,0.29216697864949787
1692.23,0.19121298433967093,0.29612065770321866,0.3024317914267056
1693.194,0.19361269189103011,0.30616640177917254,0.31279820201429487
1694.158,0.19653596818233754,0.3173023529071375,0.32280458557985353
1695.123,0.19982138635421653,0.32910407122515595,0.33223935548001987
1696.087,0.202517802682853,0.3410741948745089,0.3410872888487796
1697.051,0.20298863885337806,0.3526518832035686,0.3495039094525427
1698.015,0.1992312097423727,0.3632268991665121,0.3576363526560622
1698.979,0.19007943003049166,0.3721583684183578,0.3654703955259234
1699.944,0.17596026817080293,0.37879794962957475,0.3726938857157923
1700.908,0.1585231106203872,0.3825168271471697,0.3785881604486291
1701.872,0.13962229990562844,0.3827356142241047,0.3820938261147492
1702.836,0.12032962214203499,0.37895595498417073,0.38190898454164157
1703.801,0.10089818369068922,0.3707923584343387,0.3767092624070028
1704.765,0.08133417268890268,0.3580026090039074,0.3654405035322418
1705.729,0.06202834458083754,0.3405149931006164,0.3475370382530039
1706.693,0.043982372338872776,0.3184505735133266,0.3231061639757794
1707.658,0.028435836405868123,0.29213884120568706,0.2929385751933167
1708.622,0.016519378494669775,0.2621252789533147,0.2585507913387459
1709.586,0.00870186313067404,0.2291696785489475,0.22179107577439533
1710.55,0.004566774629434264,0.19423445145066193,0.1846889478415185
1711.515,0.0030741241730212455,0.15846264405174668,0.14911380910263533
1712.479,0.0028483224972084683,0.1231458900645782,0.11669281045447803
1713.443,0.002696004153318273,0.08968307646850925,0.08844630276866926
1714.407,0.0019038785974907942,0.05953103598068494,0.06489789721043673
1715.371,0.0006561167344665977,0.03414907696675456,0.0460836593303134
1716.336,0.0,0.014939590839828066,0.03164727468258761
1717.3,0.001177782829614527,0.003187309695235967,0.021030413214888872
1718.264,0.004698309439191852,0.0,0.013516106614102786
1719.228,0.010003384051082132,0.0062534543392038875,0.008400326668635187
