Structure Name,Structure Content,Condensed Structure Name,Condensed Structure Contents
Side Chains/Aggregated Strands,0.12707395122362464,Amorphous,0.24743265014252847
Aggregate Beta-strand/beta sheets (weak),0.30391038487994676,Beta Structures,0.5037292223692761
Beta Sheets (strong),0.07294822795136456,Alpha Helices,0.051445315998574714
Random Coils/Extended Chains,0.12276382474757942,Turns,0.19739281148962068
Random Coils,0.09322658087960521,nan,
Alpha Helices,0.04490795642268788,nan,
Turns,0.17230932699049448,nan,
Beta Sheets (weak),0.06285974690469702,nan,
