Wavenumbers (cm^-1),Normalized Amide I,Fourier Self Deconvolution Intensities,Regressed Intensities
1580.379,0.0006827526054956597,0.0486607312081775,0.04764199992729501
1581.343,0.004443042945498282,0.06301393742349043,0.06075107612108181
1582.307,0.009669134161857848,0.07767894762184888,0.07508635584577941
1583.271,0.016626949954052735,0.09212961746367113,0.09003955780597804
1584.236,0.025467730727844903,0.10590283352439549,0.10490365480013404
1585.2,0.036142497329862876,0.11862038806774122,0.1189090108219382
1586.164,0.04844961217711544,0.13000716443409918,0.13142885746647961
1587.128,0.062178820718285954,0.13990492946240912,0.14201930128357843
1588.093,0.07726420767375,0.14828119041304147,0.1505136392000401
1589.057,0.09383024239308231,0.15523274897328196,0.15701395094868953
1590.021,0.11212938191506375,0.16098376941811893,0.16191854222130864
1590.985,0.13235163746440748,0.16587836737599457,0.16581949987761982
1591.95,0.15445225723930217,0.17036791556362543,0.16943055945975521
1592.914,0.17811817868931742,0.174993449011479,0.17348762604799667
1593.878,0.2029039241610072,0.18036373036102504,0.17870407577751857
1594.842,0.22846489702650316,0.18712970130149428,0.18571887560531009
1595.807,0.2547568055595955,0.19595619446749646,0.19510179631549013
1596.771,0.28204812277411195,0.20749190629936992,0.2073215829773926
1597.735,0.3108020203357539,0.22233873053062989,0.2228195081923142
1598.699,0.3414192240961569,0.24102161921396043,0.24198401990657062
1599.663,0.3741044676993804,0.2639601689067272,0.26515628862940477
1600.628,0.408818980326473,0.2914431197552851,0.29264268675943234
1601.592,0.44538726203279255,0.3236069015993002,0.3245657904420725
1602.556,0.48362975886436754,0.36041926198811025,0.3609987635511536
1603.52,0.5234493948686224,0.40166886590916795,0.4018221098015749
1604.485,0.5647402281883256,0.446961567755552,0.44677342555937466
1605.449,0.6071671126440307,0.49572382645452134,0.49524528808606044
1606.413,0.6500862779966923,0.547213470885331,0.5465698050655003
1607.377,0.6925154628304194,0.6005377331629472,0.5998552341500726
1608.342,0.7333650836452815,0.6546781626164484,0.6541184652212334
1609.306,0.7718104738185003,0.7085217257231745,0.7080994338651974
1610.27,0.8074162773599286,0.7608971005925466,0.7606460826293667
1611.234,0.8401443079943828,0.8106149032807451,0.8105367063091197
1612.198,0.8701813564173447,0.8565103517229548,0.8565828507438435
1613.163,0.8977007466635956,0.8974866950685411,0.8977135325833513
1614.127,0.9226926060061605,0.932557623753822,0.9328508482396517
1615.091,0.9449230915697235,0.9608868383803223,0.961204170021651
1616.055,0.9639988387123251,0.9818229998617832,0.9821254234503359
1617.02,0.9794614876635863,0.9949284120814973,0.9951906434172183
1617.984,0.9908677744769693,1.0,1.0001745323086693
1618.948,0.9978315712520255,0.9970814349155193,0.9971447588603034
1619.912,1.0,0.9864656141896108,0.9864029222798129
1620.877,0.9971028718728115,0.9686871109230811,0.968473604690367
1621.841,0.9890824662806029,0.9445046519955629,0.9441688624029709
1622.805,0.9762970576512205,0.9148741400207865,0.9144470869082078
1623.769,0.9596488542453455,0.8809131838222908,0.8804423631177467
1624.734,0.9405515439278508,0.8438585200942629,0.8433636994451806
1625.698,0.9205190243743029,0.8050180736961076,0.804600618447935
1626.662,0.9008890709748074,0.7657196951350016,0.7654368807775235
1627.626,0.8824456525596588,0.7272588139036893,0.7271499022177128
1628.59,0.8653626777074067,0.6908473423167087,0.6909247161020292
1629.555,0.8494477103471523,0.657566148240364,0.6577784410534606
1630.519,0.8343136157561217,0.6283232842441049,0.6286585733500492
1631.483,0.8195093953736136,0.6038199188395722,0.6042075328375529
1632.447,0.8045768138974118,0.5845255722654399,0.5848846205404478
1633.412,0.78905245072549,0.5706638300449431,0.5709064432486333
1634.376,0.7726269239122583,0.5622092126097127,0.5622954821425613
1635.34,0.7554845993070084,0.5588953429830043,0.5587978245909002
1636.304,0.7385723125040756,0.5602340039558351,0.5599600602830975
1637.269,0.7232835080417257,0.5655441398216721,0.5651413625358153
1638.233,0.7106973121491478,0.5739893638093843,0.5735187809943821
1639.197,0.7011094289719576,0.584622107351795,0.5841603801157031
1640.161,0.6941103912220332,0.59643221445937,0.5960538082455142
1641.125,0.6888867852303834,0.6083975623284741,0.6081614109845574
1642.09,0.6844962516905592,0.6195341907657204,0.6194849077053014
1643.054,0.67994205570365,0.628943454384867,0.6290714602692868
1644.018,0.674364651572038,0.6358538721800835,0.6361329186542628
1644.982,0.6672653173403029,0.6396556313102942,0.6400361856235646
1645.947,0.6587750500876018,0.6399260913584391,0.6403427344268245
1646.911,0.6496352805493243,0.6364451116023212,0.6368280140033717
1647.875,0.6407407313083147,0.6291995617020371,0.6294879392657708
1648.839,0.6325031700307197,0.6183769468965333,0.6185253879449839
1649.804,0.6244071875711893,0.6043486515839857,0.6043168255913082
1650.768,0.6152011671458438,0.5876438490690352,0.5874455575537295
1651.732,0.603567787830459,0.5689156108138756,0.5685754198736823
1652.696,0.5893832892873901,0.5489011493953616,0.5484641113505263
1653.661,0.5741340513270385,0.5283784238474128,0.5278826995883544
1654.625,0.5600199443514774,0.5081215083243087,0.5076547172538377
1655.589,0.5484408539574404,0.48885716599169654,0.488482136714736
1656.553,0.5394105824130652,0.47122497796071505,0.47099101566233065
1657.517,0.5319477884536707,0.4557431575388787,0.45567718773040256
1658.482,0.5248018621177047,0.44278184576309326,0.4428703806731747
1659.446,0.5168605895294929,0.4325452541377042,0.43277100457905054
1660.41,0.507484801206039,0.4250635190194123,0.42536750087768355
1661.374,0.49660686603346027,0.42019458734509724,0.4204999546506564
1662.339,0.48477184913508364,0.4176358958361706,0.417860274902733
1663.303,0.47281871727448055,0.41694506642694473,0.41702407536008307
1664.267,0.46143469893680655,0.4175683492378563,0.41746286813378997
1665.231,0.4508608737388896,0.4188751278432528,0.41858706979233096
1666.196,0.44075896164316214,0.4201964823734823,0.41977397131247035
1667.16,0.4304565810519792,0.4208656010143345,0.42039302752868535
1668.124,0.41930536097024895,0.4202577500504209,0.41984405122799046
1669.088,0.40706054117630824,0.41782755999462573,0.41758116621557556
1670.052,0.3940151898303074,0.4131415566099306,0.41314374388869446
1671.017,0.38087907912203217,0.40590414991749924,0.406177161989983
1671.981,0.3683563736628936,0.39597567453521826,0.3964920848855324
1672.945,0.3568071881831566,0.38338152866283415,0.3840449140079995
1673.909,0.3461523896788254,0.36831196062257104,0.36897927969863015
1674.874,0.3361539945941402,0.35111257264274975,0.3516050849040829
1675.838,0.3266503052525977,0.33226612240743186,0.3324623234568944
1676.802,0.3177138891315665,0.31236667562161186,0.31218536153036713
1677.766,0.3094974913317856,0.29208757183430883,0.2915309982554268
1678.731,0.3020920823548071,0.27214498934600184,0.27128725873205745
1679.695,0.2952623524273864,0.2532591166361694,0.2522968559009889
1680.659,0.2884004172076425,0.23611504677140766,0.23527041962959155
1681.623,0.28058244488147305,0.2213255035323583,0.22081964697703746
1682.588,0.27098523572402605,0.20939738592660087,0.20938693474745307
1683.552,0.2594940197704737,0.20070389002911324,0.20126801041490586
1684.516,0.2471939909039781,0.19546364808366054,0.19653758218508233
1685.48,0.23597605985957618,0.19372793362700538,0.19511462730386125
1686.444,0.22735755598134577,0.19537654075040675,0.19677601395803074
1687.409,0.22165631305148614,0.2001224803890602,0.201195812224891
1688.373,0.21820017951015147,0.20752517239346735,0.2079563265738899
1689.337,0.2160149588190526,0.21701137406055526,0.2166005536471716
1690.301,0.21431967263932644,0.22790269669394145,0.2266280624774889
1691.266,0.2127207858532901,0.2394482412440931,0.23750831231927724
1692.23,0.2111634303398327,0.2508606474905733,0.24862382104080016
1693.194,0.20982341454200348,0.2613537089064675,0.25932672743819724
1694.158,0.2088479166457243,0.27017966220716627,0.2688909107920789
1695.123,0.2081214252211914,0.27666431603800146,0.27654537510215205
1696.087,0.206987983369842,0.280238331415378,0.2814848764729346
1697.051,0.20430505288965212,0.28046319674808434,0.2829835906863403
1698.015,0.19867832865322455,0.27705073786619155,0.280441807285854
1698.979,0.1892959612486234,0.26987535076666774,0.2734789621105508
1699.944,0.17645209056440947,0.25897852209077843,0.26198886581900244
1700.908,0.16130129522893075,0.24456558923113858,0.2462310644565976
1701.872,0.1451314784367534,0.22699506833883165,0.22675629466282957
1702.836,0.1286888368110281,0.20676122571283623,0.20440258091256977
1703.801,0.11214646434873696,0.18447086983341066,0.18017530432663037
1704.765,0.09551491567975076,0.1608155845145023,0.1552411896021455
1705.729,0.07906311854949333,0.13654079884350154,0.13066150122245243
1706.693,0.06348845555946807,0.11241319127810251,0.1073898791532521
1707.658,0.04965082156924769,0.08918795205109388,0.08615194483957932
1708.622,0.03834363585754819,0.06757738233784712,0.06749049064794108
1709.586,0.029890207106260853,0.048222196404699005,0.05162764119996169
1710.55,0.024000549661784994,0.03166672305966073,0.03858111795833642
1711.515,0.01994748157795847,0.018338986317747795,0.028177842578626808
1712.479,0.016779539395366375,0.008536394934143415,0.020150595063351817
1713.443,0.013662757620008369,0.002417499748109657,0.014130322074642711
1714.407,0.010100530644245516,0.0,0.009740770313011305
1715.371,0.0062210815390898585,0.0011649076104970767,0.006623559689947581
1716.336,0.002750423163167139,0.0056665232390336,0.004460353003091803
1717.3,0.0005596815648126524,0.013147649428425461,0.0029927099197648434
1718.264,0.0,0.023159271922287283,0.0020113090324309084
1719.228,0.0006827526054974315,0.035183785754281015,0.0013612507873412834
